,,country_code,country,sector,urbanity,all,lowest,low,middle,higher
country,0,AFG,Afghanistan,Alsectors,rural,1148.27,847.56,1625.97,3970.46,
country,1,AFG,Afghanistan,Foodandbeverages,rural,737.74,571.16,1005.54,1870.94,
country,2,AFG,Afghanistan,Clothingandfootwear,rural,51.72,43.24,65.22,126.92,
country,3,AFG,Afghanistan,Housing,rural,56.99,41.01,82.74,159.13,
country,4,AFG,Afghanistan,Energy,rural,70.08,49.84,102.41,237.52,
country,5,AFG,Afghanistan,Transport,rural,59.79,31.81,102.58,545.63,
country,6,AFG,Afghanistan,Water,rural,0.62,0.33,1.11,0.11,
country,7,AFG,Afghanistan,Educationsector,rural,0.56,0.39,0.84,2.15,
country,8,AFG,Afghanistan,Health,rural,45.27,34.0,63.51,103.94,
country,9,AFG,Afghanistan,ICT,rural,11.28,6.88,18.03,83.34,
country,10,AFG,Afghanistan,Financialservices,rural,0.0,0.0,0.0,0.0,
country,11,AFG,Afghanistan,Othergoodsandservices,rural,100.38,58.83,164.18,789.09,
country,12,AFG,Afghanistan,Appliances.,rural,13.85,10.08,19.82,51.7,
country,13,ALB,Albania,Alsectors,rural,2624.29,1017.39,2221.71,4518.15,10312.55
country,14,ALB,Albania,Foodandbeverages,rural,1707.66,673.54,1491.4,2796.68,5071.48
country,15,ALB,Albania,Clothingandfootwear,rural,69.32,36.19,62.96,100.88,317.6
country,16,ALB,Albania,Housing,rural,31.13,14.67,25.86,53.91,160.75
country,17,ALB,Albania,Energy,rural,178.9,91.7,157.94,279.09,553.15
country,18,ALB,Albania,Transport,rural,159.39,16.71,84.82,439.78,2823.34
country,19,ALB,Albania,Water,rural,12.99,10.7,12.07,16.92,14.98
country,20,ALB,Albania,Educationsector,rural,5.78,3.23,5.61,7.34,5.19
country,21,ALB,Albania,Health,rural,113.99,23.32,89.1,231.13,255.64
country,22,ALB,Albania,ICT,rural,88.99,33.36,76.84,148.54,351.79
country,23,ALB,Albania,Financialservices,rural,4.74,0.04,2.11,15.42,6.02
country,24,ALB,Albania,Othergoodsandservices,rural,207.97,92.8,176.84,351.94,705.99
country,25,ALB,Albania,Appliances.,rural,43.43,21.15,36.14,76.51,46.62
country,26,ARM,Armenia,Alsectors,rural,1418.7,920.18,1791.08,4857.83,
country,27,ARM,Armenia,Foodandbeverages,rural,877.97,668.26,1056.91,1321.21,
country,28,ARM,Armenia,Clothingandfootwear,rural,67.57,22.36,105.74,181.21,
country,29,ARM,Armenia,Housing,rural,10.9,3.1,17.0,52.15,
country,30,ARM,Armenia,Energy,rural,56.02,44.41,65.38,105.31,
country,31,ARM,Armenia,Transport,rural,87.13,33.88,126.74,462.11,
country,32,ARM,Armenia,Water,rural,6.12,5.14,6.86,12.33,
country,33,ARM,Armenia,Educationsector,rural,11.98,3.34,19.1,41.22,
country,34,ARM,Armenia,Health,rural,128.31,39.71,160.54,2266.94,
country,35,ARM,Armenia,ICT,rural,56.6,35.12,72.25,222.43,
country,36,ARM,Armenia,Financialservices,rural,0.02,0.0,0.04,0.0,
country,37,ARM,Armenia,Othergoodsandservices,rural,91.66,52.25,125.91,147.21,
country,38,ARM,Armenia,Appliances.,rural,24.42,12.6,34.6,45.72,
country,39,AZE,Azerbaijan,Alsectors,rural,1908.24,915.1,1944.16,4630.14,12138.59
country,40,AZE,Azerbaijan,Foodandbeverages,rural,894.66,512.04,933.12,1829.11,2635.61
country,41,AZE,Azerbaijan,Clothingandfootwear,rural,169.91,67.3,175.62,455.46,669.89
country,42,AZE,Azerbaijan,Housing,rural,32.85,7.73,27.9,129.69,792.23
country,43,AZE,Azerbaijan,Energy,rural,174.08,104.29,193.96,250.14,306.72
country,44,AZE,Azerbaijan,Transport,rural,211.8,54.76,191.6,726.37,5140.86
country,45,AZE,Azerbaijan,Water,rural,6.96,4.86,6.9,13.8,29.99
country,46,AZE,Azerbaijan,Educationsector,rural,17.44,3.05,15.88,72.99,171.52
country,47,AZE,Azerbaijan,Health,rural,51.32,21.37,58.04,98.14,108.82
country,48,AZE,Azerbaijan,ICT,rural,42.64,14.73,42.0,135.22,244.75
country,49,AZE,Azerbaijan,Financialservices,rural,0.0,0.0,0.0,0.0,0.0
country,50,AZE,Azerbaijan,Othergoodsandservices,rural,305.25,124.58,298.23,911.95,2025.01
country,51,AZE,Azerbaijan,Appliances.,rural,1.32,0.39,0.92,7.28,13.21
country,52,BGD,Bangladesh,Alsectors,rural,706.58,634.51,1581.92,4370.65,
country,53,BGD,Bangladesh,Foodandbeverages,rural,411.97,384.93,749.28,1179.79,
country,54,BGD,Bangladesh,Clothingandfootwear,rural,38.11,35.47,71.35,91.21,
country,55,BGD,Bangladesh,Housing,rural,47.14,33.33,205.48,1388.06,
country,56,BGD,Bangladesh,Energy,rural,45.04,42.76,73.25,121.93,
country,57,BGD,Bangladesh,Transport,rural,25.44,21.71,70.26,244.57,
country,58,BGD,Bangladesh,Water,rural,0.13,0.12,0.27,0.0,
country,59,BGD,Bangladesh,Educationsector,rural,19.04,16.3,53.79,54.0,
country,60,BGD,Bangladesh,Health,rural,23.88,21.28,56.07,109.69,
country,61,BGD,Bangladesh,ICT,rural,11.84,9.59,39.81,89.63,
country,62,BGD,Bangladesh,Financialservices,rural,1.15,0.93,4.09,0.08,
country,63,BGD,Bangladesh,Othergoodsandservices,rural,69.83,55.94,234.47,1051.57,
country,64,BGD,Bangladesh,Appliances.,rural,13.03,12.17,23.8,40.13,
country,65,BLR,Belarus,Alsectors,rural,4434.86,1027.38,2559.54,5223.72,12128.33
country,66,BLR,Belarus,Foodandbeverages,rural,1870.51,466.21,1174.51,2212.29,3847.04
country,67,BLR,Belarus,Clothingandfootwear,rural,467.92,128.17,291.61,551.29,1024.28
country,68,BLR,Belarus,Housing,rural,561.81,156.22,335.29,668.86,1269.98
country,69,BLR,Belarus,Energy,rural,49.09,34.43,32.76,58.79,59.28
country,70,BLR,Belarus,Transport,rural,399.29,21.86,114.8,432.91,3136.34
country,71,BLR,Belarus,Water,rural,19.91,5.66,12.53,23.27,45.58
country,72,BLR,Belarus,Educationsector,rural,56.14,0.52,26.42,69.49,162.46
country,73,BLR,Belarus,Health,rural,127.75,11.68,60.28,160.05,329.76
country,74,BLR,Belarus,ICT,rural,247.88,54.43,152.02,290.03,611.97
country,75,BLR,Belarus,Financialservices,rural,39.35,22.58,20.87,46.43,123.58
country,76,BLR,Belarus,Othergoodsandservices,rural,514.29,104.37,293.15,613.73,1303.91
country,77,BLR,Belarus,Appliances.,rural,80.93,21.25,45.3,96.55,214.15
country,78,BEN,Benin,Alsectors,rural,489.23,457.57,1522.21,,
country,79,BEN,Benin,Foodandbeverages,rural,299.51,282.59,851.62,,
country,80,BEN,Benin,Clothingandfootwear,rural,43.95,40.93,142.37,,
country,81,BEN,Benin,Housing,rural,4.59,3.61,36.43,,
country,82,BEN,Benin,Energy,rural,51.52,48.14,161.82,,
country,83,BEN,Benin,Transport,rural,0.67,0.57,4.18,,
country,84,BEN,Benin,Water,rural,0.0,0.0,0.0,,
country,85,BEN,Benin,Educationsector,rural,5.67,5.43,13.55,,
country,86,BEN,Benin,Health,rural,25.92,24.29,79.01,,
country,87,BEN,Benin,ICT,rural,0.0,0.0,0.0,,
country,88,BEN,Benin,Financialservices,rural,0.0,0.0,0.0,,
country,89,BEN,Benin,Othergoodsandservices,rural,34.47,30.74,155.95,,
country,90,BEN,Benin,Appliances.,rural,22.93,21.26,77.28,,
country,91,BTN,Bhutan,Alsectors,rural,1208.56,764.17,1818.17,4410.12,12463.05
country,92,BTN,Bhutan,Foodandbeverages,rural,609.0,461.55,848.76,1266.1,1268.09
country,93,BTN,Bhutan,Clothingandfootwear,rural,86.96,51.23,142.86,280.68,264.5
country,94,BTN,Bhutan,Housing,rural,137.62,73.16,226.27,673.0,654.74
country,95,BTN,Bhutan,Energy,rural,26.78,13.72,45.58,124.76,83.83
country,96,BTN,Bhutan,Transport,rural,63.48,20.87,79.73,552.04,8714.1
country,97,BTN,Bhutan,Water,rural,0.28,0.16,0.39,2.53,0.71
country,98,BTN,Bhutan,Educationsector,rural,17.72,15.41,22.03,19.62,15.82
country,99,BTN,Bhutan,Health,rural,8.23,3.54,15.67,33.39,11.68
country,100,BTN,Bhutan,ICT,rural,16.35,4.66,31.12,134.16,117.57
country,101,BTN,Bhutan,Financialservices,rural,1.65,1.48,1.91,2.7,2.38
country,102,BTN,Bhutan,Othergoodsandservices,rural,230.33,112.14,387.83,1285.59,1298.8
country,103,BTN,Bhutan,Appliances.,rural,10.15,6.24,16.01,35.53,30.82
country,104,BOL,Bolivia,Alsectors,rural,1343.57,636.9,1970.03,4362.54,
country,105,BOL,Bolivia,Foodandbeverages,rural,862.73,433.59,1285.24,2398.27,
country,106,BOL,Bolivia,Clothingandfootwear,rural,72.2,40.16,100.39,210.53,
